car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train
Mercedes-Benz,G 500 ,2013,90000.0,"Armenia, Yerevan",120000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3039249,5.0,388,8,AWD 4x4
Nissan,Sentra ,2018,9999.0,"Armenia, Shirak",188800.0,Sedan,Gasoline,CVT Variable,Left,White,Good,https://auto.am/offer/3038333,1.8,129,4,FWD
Mazda,CX9 ,2008,9950.0,"Armenia, Yerevan",213000.0,SUV / Truck,Gas,Automatic,Left,Black,Excellent,https://auto.am/offer/2993931,3.5,263,6,FWD
Renault,Duster ,2023,24750.0,"Armenia, Yerevan",10.0,SUV / Truck,Diesel,Manual,Left,White,New,https://auto.am/offer/2943974,1.5,110,4,AWD 4x4
Renault,Sandero Stepway ,2023,24750.0,"Armenia, Yerevan",10.0,Hatchback,Gasoline,Automatic,Left,White,New,https://auto.am/offer/2953749,1.0,92,3,FWD
BMW,X5 ,2002,9900.0,"Armenia, Yerevan",265000.0,Wagon,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3036693,4.4,286,8,AWD 4x4
Mitsubishi,Pajero ,2011,9900.0,"Armenia, Kotayk",312000.0,SUV / Truck,Gasoline,Automatic,Left,Brown,Good,https://auto.am/offer/3034891,3.5,205,4,AWD 4x4
Toyota,Camry ,2010,9900.0,"Armenia, Yerevan",33600.0,Sedan,Gasoline,Automatic,Left,White,Good,https://auto.am/offer/3034767,2.5,174,4,FWD
Hyundai,Sonata ,2010,9900.0,Armenia,160000.0,Sedan,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3026176,2.4,166,4,FWD
Mazda,3,2011,9900.0,"Armenia, Yerevan",109000.0,Sedan,Gas,Automatic,Left,Gray,Excellent,https://auto.am/offer/3026623,2.5,170,4,FWD
Mazda,CX9 ,2010,9900.0,"Armenia, Armavir",240000.0,SUV / Truck,Gas,Automatic,Left,Green,Good,https://auto.am/offer/3027655,2.5,167,4,FWD
